,Account,Balance Date,Transaction Value,Balance
343,10091076,2023-02-05,53.92,858.47
7566,10091076,2023-02-14,53.72,912.19
7932,10091076,2023-02-14,-10.22,901.97
7,10231977,2023-01-31,,61.63
1752,10231977,2023-02-01,116.0,177.63
1116,10231977,2023-02-08,-68.31,109.32
3644,10231977,2023-02-09,-1410.1,-1300.78
1000,10231977,2023-02-14,78.92,-1221.86
2977,10231977,2023-02-14,-723.4,-1945.26
8,10232603,2023-01-31,,732.55
2827,10232603,2023-02-01,125.68,858.23
6240,10232603,2023-02-02,-1190.9,-332.6700000000001
2775,10232603,2023-02-04,-888.9,-1221.5700000000002
4228,10232603,2023-02-06,88.22,-1133.3500000000001
5741,10232603,2023-02-07,-185.47,-1318.8200000000002
8439,10232603,2023-02-10,85.03,-1233.79
7941,10232603,2023-02-10,-1128.4,-2362.19
9,10243581,2023-01-31,,104.27
1493,10243581,2023-02-04,-109.65,-5.38000000000001
2773,10243581,2023-02-06,-78.93,-84.31000000000002
5046,10243581,2023-02-10,83.3,-1.0100000000000193
6820,10243581,2023-02-12,-1482.9,-1483.91
6119,10243581,2023-02-13,-20.17,-1504.0800000000002
4335,10243581,2023-02-14,-134.51,-1638.5900000000001
10,10271519,2023-01-31,,50.02
4334,10271519,2023-02-03,2285.6,2335.62
3664,10271519,2023-02-03,95.05,2430.67
7830,10271519,2023-02-03,17.57,2448.24
140,10271519,2023-02-03,-100.99,2347.25
5643,10271519,2023-02-11,-89.55,2257.7
3643,10271519,2023-02-12,98.81,2356.5099999999998
4160,10271519,2023-02-12,76.71,2433.22
11,10273387,2023-01-31,,581.83
5886,10273387,2023-02-03,113.03,694.86
8245,10273387,2023-02-03,-556.5,138.36
8159,10273387,2023-02-06,181.24,319.6
926,10273387,2023-02-07,-38.41,281.19000000000005
56,10273387,2023-02-08,-140.45,140.74000000000004
5083,10273387,2023-02-10,138.8,279.5400000000001
363,10273387,2023-02-10,-71.11,208.43000000000006
6891,10273387,2023-02-12,130.68,339.11000000000007
3019,10273387,2023-02-14,278.4,617.51
12,10288821,2023-01-31,,642.41
5472,10288821,2023-02-07,-151.7,490.71
1595,10288821,2023-02-11,85.41,576.12
8413,10288821,2023-02-12,228.52,804.64
6722,10288821,2023-02-14,94.21,898.85
13,10295384,2023-01-31,,153.85
2685,10295384,2023-02-03,10.64,164.49
1830,10295384,2023-02-04,55.98,220.47
1606,10295384,2023-02-04,-96.09,124.38
1327,10295384,2023-02-06,100.34,224.72
2,10295384,2023-02-06,87.57,312.28999999999996
7020,10295384,2023-02-07,186.15,498.44
3634,10295384,2023-02-07,133.09,631.53
5165,10295384,2023-02-09,-110.01,521.52
7677,10295384,2023-02-11,-62.52,459.0
7897,10295384,2023-02-13,128.0,587.0
14,10350324,2023-01-31,,861.81
1711,10350324,2023-02-03,247.64,1109.4499999999998
5623,10350324,2023-02-04,81.35,1190.8
1893,10350324,2023-02-04,47.39,1238.1899999999998
467,10350324,2023-02-07,-42.19,1196.0
7540,10350324,2023-02-10,-91.04,1104.96
4154,10350324,2023-02-11,132.19,1237.1499999999999
4029,10350324,2023-02-11,119.75,1356.8999999999999
2197,10350324,2023-02-13,-142.63,1214.27
15,10437896,2023-01-31,,661.08
6392,10437896,2023-02-04,55.24,716.32
5572,10437896,2023-02-04,-51.84,664.48
3630,10437896,2023-02-06,68.72,733.2
7256,10437896,2023-02-09,116.34,849.5400000000001
3576,10437896,2023-02-11,1107.1,1956.6399999999999
8431,10437896,2023-02-13,73.97,2030.61
16,10449180,2023-01-31,,228.24
4837,10449180,2023-02-01,48.99,277.23
21,10449180,2023-02-02,25.81,303.04
4684,10449180,2023-02-06,784.3,1087.34
8492,10449180,2023-02-11,75.88,1163.2199999999998
17,10464544,2023-01-31,,755.99
1775,10464544,2023-02-01,-89.56,666.4300000000001
6309,10464544,2023-02-07,135.77,802.2
8297,10464544,2023-02-08,132.1,934.3
4847,10464544,2023-02-12,-463.1,471.2
7825,10464544,2023-02-14,987.9,1459.1
7536,10464544,2023-02-14,-81.26,1377.84
18,10473116,2023-01-31,,387.7
3309,10473116,2023-02-01,-94.91,292.78999999999996
5529,10473116,2023-02-03,87.46,380.25
7855,10473116,2023-02-06,-1194.9,-814.6500000000001
103,10473116,2023-02-08,103.49,-711.1600000000001
4189,10473116,2023-02-10,28.23,-682.9300000000001
5847,10473116,2023-02-12,-108.51,-791.44
19,10521885,2023-01-31,,54.87
869,10521885,2023-02-01,127.41,182.28
3997,10521885,2023-02-01,-83.86,98.42
4563,10521885,2023-02-03,120.33,218.75
5265,10521885,2023-02-09,37.14,255.89
7583,10521885,2023-02-12,70.6,326.49
4583,10521885,2023-02-14,150.19,476.68
7439,10521885,2023-02-14,53.35,530.03
20,10553619,2023-01-31,,756.2
1352,10553619,2023-02-01,72.18,828.3800000000001
5926,10553619,2023-02-01,-112.77,715.61
7800,10553619,2023-02-03,133.94,849.5500000000001
2481,10553619,2023-02-04,-1263.9,-414.35
4371,10553619,2023-02-05,-89.62,-503.97
78,10553619,2023-02-06,-1085.4,-1589.3700000000001
5185,10553619,2023-02-11,873.9,-715.4700000000001
4428,10553619,2023-02-14,1485.6,770.1299999999998
2663,10553619,2023-02-14,-43.02,727.1099999999998
21,10554116,2023-01-31,,243.95
7203,10554116,2023-02-01,-121.83,122.11999999999999
22,10586481,2023-01-31,,73.83
7273,10586481,2023-02-03,100.42,174.25
5950,10586481,2023-02-11,142.56,316.81
943,10586481,2023-02-12,128.32,445.13
5326,10586481,2023-02-12,-49.53,395.6
2547,10586481,2023-02-14,-24.89,370.71
23,10608220,2023-01-31,,632.92
8580,10608220,2023-02-01,33.49,666.41
6881,10608220,2023-02-01,-89.41,577.0
6445,10608220,2023-02-04,-117.26,459.73999999999995
4162,10608220,2023-02-05,78.8,538.54
5036,10608220,2023-02-10,-55.88,482.65999999999997
5950,10608220,2023-02-11,-142.56,340.09999999999997
5918,10608220,2023-02-13,86.79,426.89
5178,10608220,2023-02-13,-98.19,328.7
1065,10608220,2023-02-13,-118.5,210.2
24,10631690,2023-01-31,,947.45
8517,10631690,2023-02-03,165.39,1112.8400000000001
3544,10631690,2023-02-03,-41.04,1071.8
4436,10631690,2023-02-11,-151.02,920.78
25,10675607,2023-01-31,,284.84
2648,10675607,2023-02-01,-114.21,170.63
6520,10675607,2023-02-08,-19.11,151.51999999999998
2909,10675607,2023-02-14,-908.4,-756.88
26,10725127,2023-01-31,,984.69
920,10725127,2023-02-04,-1268.7,-284.01
6691,10725127,2023-02-09,148.39,-135.62
3577,10725127,2023-02-11,102.03,-33.59
8413,10725127,2023-02-12,-228.52,-262.11
7422,10725127,2023-02-13,-157.99,-420.1
27,10769769,2023-01-31,,906.91
7303,10769769,2023-02-01,-93.28,813.63
278,10769769,2023-02-02,38.78,852.41
2280,10769769,2023-02-02,-20.72,831.6899999999999
7140,10769769,2023-02-02,-96.8,734.89
878,10769769,2023-02-02,-1502.2,-767.3100000000001
2084,10769769,2023-02-03,-89.51,-856.82
1455,10769769,2023-02-05,145.08,-711.74
6298,10769769,2023-02-05,-59.15,-770.8900000000001
6863,10769769,2023-02-08,-143.57,-914.46
252,10769769,2023-02-09,58.86,-855.6
6260,10769769,2023-02-10,-51.82,-907.4200000000001
7329,10769769,2023-02-10,-85.7,-993.1200000000001
8224,10769769,2023-02-11,666.5,-326.6200000000001
3123,10769769,2023-02-11,172.32,-154.30000000000013
28,10783139,2023-01-31,,992.98
546,10783139,2023-02-04,103.81,1096.79
5734,10783139,2023-02-05,-92.78,1004.01
5236,10783139,2023-02-08,-96.33,907.6800000000001
888,10783139,2023-02-09,9.69,917.37
300,10783139,2023-02-09,-129.76,787.61
2675,10783139,2023-02-10,72.06,859.6700000000001
5167,10783139,2023-02-12,109.08,968.75
29,10799356,2023-01-31,,915.04
537,10799356,2023-02-06,138.24,1053.28
3081,10799356,2023-02-06,127.85,1181.1299999999999
3275,10799356,2023-02-11,-120.98,1060.1499999999999
298,10799356,2023-02-11,-259.39,800.76
1820,10799356,2023-02-12,-94.16,706.6
8204,10799356,2023-02-14,-1314.7,-608.1
30,10819898,2023-01-31,,750.25
6923,10819898,2023-02-01,103.68,853.9300000000001
824,10819898,2023-02-02,15.52,869.45
608,10819898,2023-02-03,-91.02,778.4300000000001
8646,10819898,2023-02-05,-36.13,742.3
6472,10819898,2023-02-08,123.29,865.59
2939,10819898,2023-02-10,-104.75,760.84
4489,10819898,2023-02-12,98.15,858.99
6646,10819898,2023-02-14,114.54,973.53
5730,10819898,2023-02-14,47.83,1021.36
31,10842511,2023-01-31,,651.77
3516,10842511,2023-02-02,-155.92,495.85
8052,10842511,2023-02-13,102.44,598.29
32,10847941,2023-01-31,,40.25
30,10847941,2023-02-06,-64.29,-24.040000000000006
4005,10847941,2023-02-07,-143.62,-167.66000000000003
6544,10847941,2023-02-08,92.54,-75.12000000000002
713,10847941,2023-02-10,-146.12,-221.24
4256,10847941,2023-02-11,1094.0,872.76
33,10864084,2023-01-31,,119.98
128,10864084,2023-02-02,-150.75,-30.769999999999996
2295,10864084,2023-02-02,-179.69,-210.45999999999998
5933,10864084,2023-02-05,-39.08,-249.53999999999996
401,10864084,2023-02-06,154.92,-94.62
3226,10864084,2023-02-06,114.81,20.189999999999998
5923,10864084,2023-02-06,72.7,92.89
4035,10864084,2023-02-10,98.32,191.20999999999998
6411,10864084,2023-02-11,65.15,256.36
7741,10864084,2023-02-13,-1545.5,-1289.1399999999999
34,10942334,2023-01-31,,55.42
1276,10942334,2023-02-05,-92.89,-37.47
4224,10942334,2023-02-07,-33.98,-71.44999999999999
3626,10942334,2023-02-10,116.67,45.22
3833,10942334,2023-02-11,84.45,129.67000000000002
35,10949168,2023-01-31,,471.8
4820,10949168,2023-02-04,-105.89,365.91
4105,10949168,2023-02-04,-127.73,238.18
6712,10949168,2023-02-07,71.99,310.17
2795,10949168,2023-02-09,-214.76,95.41000000000003
3260,10949168,2023-02-11,146.95,242.36
7973,10949168,2023-02-12,52.81,295.17
1703,10949168,2023-02-14,-13.43,281.74
36,10989769,2023-01-31,,334.18
7522,10989769,2023-02-03,854.4,1188.58
6478,10989769,2023-02-12,-154.56,1034.02
8607,10989769,2023-02-13,102.22,1136.24
5717,10989769,2023-02-13,-66.55,1069.69
37,11008868,2023-01-31,,271.3
3615,11008868,2023-02-02,-0.91,270.39
2742,11008868,2023-02-07,-207.86,62.53
6860,11008868,2023-02-13,96.98,159.51
1989,11008868,2023-02-13,93.56,253.07
1296,11008868,2023-02-14,131.58,384.65000000000003
38,11026937,2023-01-31,,303.44
3771,11026937,2023-02-02,90.91,394.35
3302,11026937,2023-02-02,-47.72,346.63
1252,11026937,2023-02-06,-85.44,261.19
6873,11026937,2023-02-07,-75.08,186.11
3553,11026937,2023-02-07,-92.55,93.56
1495,11026937,2023-02-13,-42.26,51.300000000000004
5678,11026937,2023-02-14,67.47,118.77000000000001
39,11061291,2023-01-31,,72.7
536,11061291,2023-02-01,-162.41,-89.71
5986,11061291,2023-02-03,-53.42,-143.13
2798,11061291,2023-02-03,-149.54,-292.66999999999996
706,11061291,2023-02-04,186.95,-105.72
4353,11061291,2023-02-08,61.41,-44.31
5868,11061291,2023-02-08,5.73,-38.58
6252,11061291,2023-02-09,-119.17,-157.75
2754,11061291,2023-02-12,121.86,-35.89
3789,11061291,2023-02-14,-78.98,-114.87
40,11067879,2023-01-31,,481.56
2020,11067879,2023-02-01,187.01,668.5699999999999
6826,11067879,2023-02-01,-812.6,-144.02999999999997
824,11067879,2023-02-02,-15.52,-159.54999999999998
4002,11067879,2023-02-04,81.63,-77.91999999999997
2925,11067879,2023-02-06,97.09,19.17000000000003
2473,11067879,2023-02-07,151.33,170.50000000000006
4658,11067879,2023-02-07,-96.93,73.57000000000002
3085,11067879,2023-02-07,-123.45,-49.87999999999998
1592,11067879,2023-02-08,-66.39,-116.26999999999998
4618,11067879,2023-02-11,172.57,56.30000000000001
8675,11067879,2023-02-11,-87.16,-30.859999999999985
1422,11067879,2023-02-13,-78.91,-109.76999999999998
41,11110085,2023-01-31,,861.29
3326,11110085,2023-02-03,107.9,969.1899999999999
741,11110085,2023-02-05,1712.2,2681.39
3762,11110085,2023-02-06,97.33,2778.7200000000003
1835,11110085,2023-02-11,109.66,2888.38
2637,11110085,2023-02-12,122.36,3010.7400000000002
3204,11110085,2023-02-12,-66.27,2944.4700000000003
908,11110085,2023-02-13,-147.67,2796.8
7504,11110085,2023-02-14,1397.8,4194.6
2086,11110085,2023-02-14,-152.84,4041.76
42,11150945,2023-01-31,,858.83
7250,11150945,2023-02-01,240.2,1099.03
2339,11150945,2023-02-01,-345.3,753.73
2584,11150945,2023-02-03,32.07,785.8000000000001
2326,11150945,2023-02-03,-189.03,596.77
6565,11150945,2023-02-06,43.59,640.36
596,11150945,2023-02-09,133.16,773.52
436,11150945,2023-02-09,98.03,871.55
7892,11150945,2023-02-13,763.2,1634.75
5783,11150945,2023-02-13,-126.72,1508.03
43,11228111,2023-01-31,,130.36
4577,11228111,2023-02-01,-142.2,-11.839999999999975
2170,11228111,2023-02-02,-1501.3,-1513.1399999999999
6379,11228111,2023-02-09,179.65,-1333.4899999999998
8663,11228111,2023-02-10,169.47,-1164.02
4562,11228111,2023-02-11,77.54,-1086.4799999999998
8237,11228111,2023-02-11,69.11,-1017.3699999999999
44,11242986,2023-01-31,,344.68
407,11242986,2023-02-01,-160.4,184.28
3666,11242986,2023-02-06,-21.12,163.16
8015,11242986,2023-02-08,-93.77,69.39
1515,11242986,2023-02-09,55.87,125.25999999999999
2182,11242986,2023-02-11,-102.16,23.099999999999994
45,11251776,2023-01-31,,504.02
3873,11251776,2023-02-03,88.94,592.96
738,11251776,2023-02-04,84.15,677.11
3467,11251776,2023-02-09,150.22,827.3299999999999
4844,11251776,2023-02-10,-67.69,759.64
3747,11251776,2023-02-11,79.08,838.72
5335,11251776,2023-02-14,-950.7,-111.98000000000002
46,11302888,2023-01-31,,458.83
2605,11302888,2023-02-04,117.6,576.43
5818,11302888,2023-02-05,-80.56,495.87
934,11302888,2023-02-06,182.96,678.8299999999999
525,11302888,2023-02-10,-19.72,659.11
47,11306584,2023-01-31,,522.4
6992,11306584,2023-02-01,52.0,574.4
7702,11306584,2023-02-03,-432.2,142.2
8401,11306584,2023-02-07,1198.9,1341.1000000000001
5312,11306584,2023-02-07,45.38,1386.4800000000002
5224,11306584,2023-02-09,151.14,1537.6200000000001
3612,11306584,2023-02-10,-30.61,1507.0100000000002
6346,11306584,2023-02-11,63.83,1570.8400000000001
5353,11306584,2023-02-12,1681.9,3252.7400000000002
7812,11306584,2023-02-12,-71.74,3181.0000000000005
5110,11306584,2023-02-14,-701.1,2479.9
48,11333185,2023-01-31,,693.23
696,11333185,2023-02-02,99.58,792.8100000000001
4139,11333185,2023-02-06,113.2,906.01
5649,11333185,2023-02-06,-676.7,229.30999999999995
2484,11333185,2023-02-07,186.08,415.39
7011,11333185,2023-02-07,-1440.9,-1025.5100000000002
8089,11333185,2023-02-10,-67.29,-1092.8000000000002
2314,11333185,2023-02-11,155.81,-936.9900000000002
3884,11333185,2023-02-11,88.41,-848.5800000000003
8654,11333185,2023-02-11,-138.48,-987.0600000000002
1497,11333185,2023-02-13,1582.4,595.3399999999999
49,11346696,2023-01-31,,661.99
207,11346696,2023-02-04,-91.69,570.3
731,11346696,2023-02-06,-75.77,494.53000000000003
4647,11346696,2023-02-09,-113.15,381.38
5022,11346696,2023-02-10,-812.8,-431.41999999999996
843,11346696,2023-02-13,-1487.7,-1919.12
50,11359678,2023-01-31,,837.17
7669,11359678,2023-02-07,65.16,902.3299999999999
2512,11359678,2023-02-07,-67.04,835.29
8361,11359678,2023-02-11,62.24,897.53
894,11359678,2023-02-14,-74.53,823.0
51,11360263,2023-01-31,,136.79
7712,11360263,2023-02-01,100.02,236.81
7167,11360263,2023-02-03,130.53,367.34
4441,11360263,2023-02-03,101.8,469.14
6529,11360263,2023-02-06,173.03,642.17
6156,11360263,2023-02-06,80.15,722.3199999999999
4557,11360263,2023-02-09,-68.25,654.0699999999999
4298,11360263,2023-02-12,-47.25,606.8199999999999
52,11368995,2023-01-31,,565.8
2226,11368995,2023-02-01,-63.48,502.31999999999994
128,11368995,2023-02-02,150.75,653.0699999999999
3662,11368995,2023-02-02,-140.61,512.4599999999999
8421,11368995,2023-02-04,-121.49,390.96999999999997
6610,11368995,2023-02-05,-92.6,298.36999999999995
419,11368995,2023-02-06,52.22,350.59
949,11368995,2023-02-08,65.06,415.65
53,11437275,2023-01-31,,115.34
7261,11437275,2023-02-05,98.47,213.81
6184,11437275,2023-02-07,112.5,326.31
8298,11437275,2023-02-07,-144.5,181.81
8116,11437275,2023-02-09,94.06,275.87
6697,11437275,2023-02-10,-100.43,175.44
5065,11437275,2023-02-10,-112.61,62.83
54,11438427,2023-01-31,,484.08
5952,11438427,2023-02-06,123.77,607.85
2001,11438427,2023-02-07,-23.9,583.9499999999999
6536,11438427,2023-02-08,-190.12,393.83
6112,11438427,2023-02-08,-1686.0,-1292.17
55,11463412,2023-01-31,,342.53
3818,11463412,2023-02-07,-97.82,244.70999999999998
8313,11463412,2023-02-09,1582.3,1827.01
56,11475827,2023-01-31,,363.88
4652,11475827,2023-02-01,48.39,412.27
8571,11475827,2023-02-07,89.09,501.36
4644,11475827,2023-02-08,-45.54,455.82
2615,11475827,2023-02-11,1129.9,1585.72
6394,11475827,2023-02-11,86.86,1672.58
2842,11475827,2023-02-12,106.02,1778.6
57,11522216,2023-01-31,,590.37
578,11522216,2023-02-03,43.61,633.98
8286,11522216,2023-02-04,199.41,833.39
7233,11522216,2023-02-10,106.62,940.01
3906,11522216,2023-02-10,82.97,1022.98
1408,11522216,2023-02-14,81.37,1104.35
58,11662506,2023-01-31,,573.89
7442,11662506,2023-02-01,-167.85,406.03999999999996
6295,11662506,2023-02-05,102.96,509.0
5434,11662506,2023-02-05,89.72,598.72
7110,11662506,2023-02-09,-38.09,560.63
1502,11662506,2023-02-09,-134.78,425.84999999999997
4995,11662506,2023-02-11,-84.35,341.5
8041,11662506,2023-02-14,-77.33,264.16999999999996
7504,11662506,2023-02-14,-1397.8,-1133.63
59,11694020,2023-01-31,,379.2
1656,11694020,2023-02-04,-189.72,189.48
7300,11694020,2023-02-06,44.43,233.91
4132,11694020,2023-02-09,-1363.6,-1129.6899999999998
6234,11694020,2023-02-12,1.29,-1128.3999999999999
986,11694020,2023-02-14,725.0,-403.39999999999986
60,11717885,2023-01-31,,6.06
5782,11717885,2023-02-05,-72.53,-66.47
6999,11717885,2023-02-13,-86.51,-152.98000000000002
61,11728970,2023-01-31,,711.65
5373,11728970,2023-02-06,123.61,835.26
5372,11728970,2023-02-06,84.79,920.05
4141,11728970,2023-02-09,-135.18,784.87
2477,11728970,2023-02-14,93.35,878.22
62,11736814,2023-01-31,,381.51
5845,11736814,2023-02-03,-133.06,248.45
3187,11736814,2023-02-05,-790.5,-542.05
5822,11736814,2023-02-06,98.86,-443.18999999999994
8548,11736814,2023-02-11,-1851.4,-2294.59
63,11744491,2023-01-31,,105.92
7383,11744491,2023-02-01,142.98,248.89999999999998
1217,11744491,2023-02-01,112.17,361.07
5977,11744491,2023-02-03,656.3,1017.3699999999999
510,11744491,2023-02-04,-144.75,872.6199999999999
4409,11744491,2023-02-06,-92.39,780.2299999999999
6766,11744491,2023-02-09,87.15,867.3799999999999
1892,11744491,2023-02-09,-176.85,690.53
8137,11744491,2023-02-10,-39.7,650.8299999999999
576,11744491,2023-02-11,85.89,736.7199999999999
6373,11744491,2023-02-12,-55.81,680.9099999999999
1685,11744491,2023-02-13,115.86,796.7699999999999
3984,11744491,2023-02-13,-121.39,675.3799999999999
64,11764022,2023-01-31,,286.66
1765,11764022,2023-02-01,-117.24,169.42000000000002
374,11764022,2023-02-03,3.65,173.07000000000002
2997,11764022,2023-02-10,86.61,259.68000000000006
65,11778031,2023-01-31,,514.7
5702,11778031,2023-02-08,-37.69,477.01000000000005
1402,11778031,2023-02-09,-64.44,412.57000000000005
2177,11778031,2023-02-11,102.08,514.6500000000001
8197,11778031,2023-02-13,569.6,1084.25
66,11790056,2023-01-31,,49.7
622,11790056,2023-02-01,119.97,169.67000000000002
7230,11790056,2023-02-01,-95.49,74.18
698,11790056,2023-02-03,12.0,86.18
4462,11790056,2023-02-05,-91.81,-5.6299999999999955
2033,11790056,2023-02-06,-47.78,-53.41
609,11790056,2023-02-06,-688.5,-741.91
3672,11790056,2023-02-08,90.7,-651.2099999999999
822,11790056,2023-02-08,-41.57,-692.78
7920,11790056,2023-02-09,-969.7,-1662.48
67,11804173,2023-01-31,,353.62
443,11804173,2023-02-02,119.36,472.98
239,11804173,2023-02-04,100.25,573.23
814,11804173,2023-02-04,-159.42,413.81
2232,11804173,2023-02-11,-53.59,360.22
68,11826060,2023-01-31,,782.13
4894,11826060,2023-02-05,63.32,845.45
2370,11826060,2023-02-07,81.64,927.09
7947,11826060,2023-02-09,38.13,965.22
6346,11826060,2023-02-11,-63.83,901.39
7548,11826060,2023-02-13,118.67,1020.06
1657,11826060,2023-02-13,93.04,1113.1
69,11831265,2023-01-31,,292.14
7778,11831265,2023-02-01,-91.77,200.37
7511,11831265,2023-02-01,-103.4,96.96999999999998
1312,11831265,2023-02-01,-140.67,-43.7
3340,11831265,2023-02-09,-98.31,-142.01
932,11831265,2023-02-10,89.98,-52.03
7422,11831265,2023-02-13,157.99,105.96000000000001
5925,11831265,2023-02-14,-85.67,20.290000000000006
70,11836917,2023-01-31,,650.14
2890,11836917,2023-02-01,-138.19,511.95
423,11836917,2023-02-12,90.66,602.61
1175,11836917,2023-02-14,165.55,768.16
3448,11836917,2023-02-14,87.88,856.04
71,11846043,2023-01-31,,915.59
1198,11846043,2023-02-02,69.49,985.08
1220,11846043,2023-02-06,87.82,1072.9
8660,11846043,2023-02-07,-56.28,1016.62
5787,11846043,2023-02-10,-1640.4,-623.7800000000001
1585,11846043,2023-02-12,139.76,-484.0200000000001
72,11882775,2023-01-31,,299.41
2570,11882775,2023-02-01,-105.63,193.78000000000003
3100,11882775,2023-02-01,-1058.7,-864.9200000000001
2662,11882775,2023-02-03,118.76,-746.1600000000001
4764,11882775,2023-02-03,-753.5,-1499.66
2769,11882775,2023-02-05,84.05,-1415.6100000000001
5169,11882775,2023-02-06,-90.05,-1505.66
4923,11882775,2023-02-06,-1791.9,-3297.5600000000004
2082,11882775,2023-02-08,209.73,-3087.8300000000004
5704,11882775,2023-02-09,1202.9,-1884.93
73,11910409,2023-01-31,,241.22
2694,11910409,2023-02-01,-80.43,160.79
1350,11910409,2023-02-04,-78.93,81.85999999999999
5041,11910409,2023-02-05,78.36,160.21999999999997
2308,11910409,2023-02-05,-118.22,41.999999999999986
1889,11910409,2023-02-06,-53.53,-11.530000000000015
3914,11910409,2023-02-12,103.79,92.25999999999999
7882,11910409,2023-02-13,112.31,204.57
74,11928523,2023-01-31,,818.51
3214,11928523,2023-02-05,-149.91,668.6
7451,11928523,2023-02-07,-76.58,592.02
8174,11928523,2023-02-08,-74.38,517.64
641,11928523,2023-02-11,99.31,616.95
8047,11928523,2023-02-12,2208.4,2825.3500000000004
8285,11928523,2023-02-13,68.67,2894.02
75,12035637,2023-01-31,,461.35
1036,12035637,2023-02-02,-779.9,-318.54999999999995
6460,12035637,2023-02-02,-1138.0,-1456.55
8253,12035637,2023-02-03,-36.14,-1492.69
2168,12035637,2023-02-07,1190.8,-301.8900000000001
4379,12035637,2023-02-07,260.82,-41.07000000000011
5291,12035637,2023-02-07,230.31,189.2399999999999
3457,12035637,2023-02-08,-90.52,98.7199999999999
333,12035637,2023-02-08,-143.15,-44.430000000000106
5134,12035637,2023-02-08,-1169.6,-1214.03
81,12035637,2023-02-10,551.6,-662.43
4702,12035637,2023-02-11,-137.31,-799.74
6576,12035637,2023-02-12,-123.5,-923.24
76,12042151,2023-01-31,,336.44
7466,12042151,2023-02-03,-89.74,246.7
3704,12042151,2023-02-05,97.45,344.15
293,12042151,2023-02-07,101.5,445.65
1945,12042151,2023-02-09,-64.03,381.62
3067,12042151,2023-02-11,1271.5,1653.12
3676,12042151,2023-02-11,-32.04,1621.08
7986,12042151,2023-02-13,-61.53,1559.55
77,12088180,2023-01-31,,656.51
5149,12088180,2023-02-11,22.62,679.13
1620,12088180,2023-02-12,190.9,870.03
1764,12088180,2023-02-14,-45.9,824.13
78,12099406,2023-01-31,,681.11
8201,12099406,2023-02-01,-94.97,586.14
4120,12099406,2023-02-07,-934.2,-348.06000000000006
7051,12099406,2023-02-10,-143.73,-491.7900000000001
3827,12099406,2023-02-12,1201.1,709.3099999999998
5687,12099406,2023-02-13,112.0,821.3099999999998
79,12111805,2023-01-31,,890.99
1594,12111805,2023-02-01,110.9,1001.89
1451,12111805,2023-02-03,-79.35,922.54
678,12111805,2023-02-06,128.91,1051.45
1737,12111805,2023-02-10,-185.21,866.24
3384,12111805,2023-02-11,-77.84,788.4
3223,12111805,2023-02-13,-202.54,585.86
4804,12111805,2023-02-14,-94.45,491.41
80,12172627,2023-01-31,,550.41
3413,12172627,2023-02-02,137.03,687.4399999999999
283,12172627,2023-02-05,-116.16,571.28
473,12172627,2023-02-12,-76.51,494.77
81,12185627,2023-01-31,,873.23
288,12185627,2023-02-02,-30.52,842.71
1937,12185627,2023-02-03,225.89,1068.6
2778,12185627,2023-02-04,-50.19,1018.41
8595,12185627,2023-02-05,-80.67,937.74
