,id,first_name,last_name,Ticker,Sector,Market,Stock Name,Market Cap,Purchase Price,month,file date,Purchase Price Category,Market Cap Category,Rank
521,522,Benedetto,Braganca,GOOG,Technology,NASDAQ,Alphabet Inc.,650090000000.0,66206.88,8,01/8/2023,High,Huge,1.0
545,546,Orsa,Leroux,PNF,,NYSE,PIMCO New York Municipal Income Fund,99420000.0,9945.99,8,01/8/2023,Low,Small,1.0
558,559,Jenica,Garlette,TENX,Health Care,NASDAQ,"Tenax Therapeutics, Inc.",14890000.0,6777.64,8,01/8/2023,Low,Small,4.0
565,566,Layla,Landall,HONE,Finance,NASDAQ,"HarborOne Bancorp, Inc.",655590000.0,72839.67,8,01/8/2023,High,Medium,2.0
576,577,Merry,Berrey,FEUZ,,NASDAQ,First Trust Eurozone AlphaDEX ETF,9760000.0,7886.40,8,01/8/2023,Low,Small,2.0
582,583,Pancho,Kondratyuk,APPF,Technology,NASDAQ,"AppFolio, Inc.",1080000000.0,49842.73,8,01/8/2023,Medium,Large,1.0
612,613,Claybourne,Dutnell,ADUS,Health Care,NASDAQ,Addus HomeCare Corporation,424110000.0,9991.70,8,01/8/2023,Low,Medium,1.0
614,615,Aron,Brotherhood,HFBL,Finance,NASDAQ,"Home Federal Bancorp, Inc. of Louisiana",48460000.0,99258.91,8,01/8/2023,Very High,Small,1.0
622,623,Mylo,Jorio,BSL,,NYSE,Blackstone GSO Senior Floating Rate Term Fund,271310000.0,72701.83,8,01/8/2023,High,Medium,3.0
624,625,Larine,Ashe,PHD,,NYSE,Pioneer Floating Rate Trust,293390000.0,71810.27,8,01/8/2023,High,Medium,5.0
661,662,Gusty,Duggon,MTOR,Capital Goods,NYSE,"Meritor, Inc.",1410000000.0,98657.98,8,01/8/2023,Very High,Large,1.0
665,666,Vicki,Thripp,BGX,,NYSE,Blackstone GSO Long Short Credit Income Fund,207430000.0,98834.66,8,01/8/2023,Very High,Medium,5.0
672,673,Kip,Fagge,INOV,Technology,NASDAQ,"Inovalon Holdings, Inc.",1990000000.0,9010.38,8,01/8/2023,Low,Large,4.0
680,681,Julina,Stut,UEIC,Consumer Non-Durables,NASDAQ,Universal Electronics Inc.,959070000.0,8375.61,8,01/8/2023,Low,Medium,5.0
694,695,Gaston,Kettlesting,BRKR,Capital Goods,NASDAQ,Bruker Corporation,4430000000.0,49245.38,8,01/8/2023,Medium,Large,3.0
704,705,Izabel,Gurnett,JWN,Consumer Services,NYSE,"Nordstrom, Inc.",7890000000.0,48812.10,8,01/8/2023,Medium,Large,5.0
726,727,Judith,Davidai,WMT,Consumer Services,NYSE,"Wal-Mart Stores, Inc.",226810000000.0,62430.20,8,01/8/2023,High,Huge,3.0
732,733,Serena,Randalston,HD,Consumer Services,NYSE,"Home Depot, Inc. (The)",187270000000.0,95429.11,8,01/8/2023,Very High,Huge,1.0
735,736,Glynnis,Bunch,VBFC,Finance,NASDAQ,Village Bank and Trust Financial Corp.,44250000.0,97956.95,8,01/8/2023,Very High,Small,3.0
738,739,Austine,Oris,CLDT,Consumer Services,NYSE,Chatham Lodging Trust (REIT),776550000.0,74196.58,8,01/8/2023,High,Medium,1.0
747,748,Lorettalorna,Saphin,INFY,Technology,NYSE,Infosys Limited,33530000000.0,96898.17,8,01/8/2023,Very High,Large,5.0
766,767,Sheelagh,Jeremaes,MWA,Capital Goods,NYSE,MUELLER WATER PRODUCTS,1830000000.0,49246.68,8,01/8/2023,Medium,Large,2.0
772,773,Sly,Fargher,TGA,Energy,NASDAQ,Transglobe Energy Corp,92420000.0,45874.74,8,01/8/2023,Medium,Small,5.0
792,793,Ursuline,Tippett,KONE,Technology,NASDAQ,Kingtone Wirelessinfo Solution Holding Ltd,5160000.0,6438.96,8,01/8/2023,Low,Small,5.0
811,812,Conroy,Bramley,CCM,Health Care,NYSE,Concord Medical Services Holdings Limited,153070000.0,99535.36,8,01/8/2023,Very High,Medium,4.0
849,850,Nessy,Auston,JRVR,Finance,NASDAQ,"James River Group Holdings, Ltd.",1180000000.0,74618.92,8,01/8/2023,High,Large,5.0
851,852,Missie,Patient,MFIN,Finance,NASDAQ,Medallion Financial Corp.,55600000.0,6790.53,8,01/8/2023,Low,Small,3.0
852,853,Goldina,Thunderchief,VCRA,Consumer Durables,NYSE,"Vocera Communications, Inc.",763420000.0,99808.72,8,01/8/2023,Very High,Medium,2.0
860,861,Miller,Aggett,SR,Public Utilities,NYSE,Spire Inc.,3490000000.0,8302.51,8,01/8/2023,Low,Large,5.0
925,926,Zeb,Millgate,STPP,Finance,NASDAQ,iPath US Treasury Steepener ETN,3250000.0,98186.87,8,01/8/2023,Very High,Small,2.0
939,940,Carleen,McKinlay,HON,Capital Goods,NYSE,Honeywell International Inc.,102630000000.0,32373.73,8,01/8/2023,Medium,Huge,1.0
972,973,Carry,Buff,ONCE,Health Care,NASDAQ,"Spark Therapeutics, Inc.",1820000000.0,98247.23,8,01/8/2023,Very High,Large,3.0
973,974,Babs,Surcombe,IDRA,Health Care,NASDAQ,"Idera Pharmaceuticals, Inc.",237150000.0,72016.13,8,01/8/2023,High,Medium,4.0
3,4,Rogerio,Cran,CTHR,Consumer Durables,NASDAQ,Charles & Colvard Ltd,19680000.0,97881.35,9,01/9/2023,Very High,Small,4.0
54,55,Rusty,LeEstut,PY,,NASDAQ,Principal Shareholder Yield Index ETF,7210000.0,9491.08,9,01/9/2023,Low,Small,2.0
74,75,Jared,Boam,DWCH,Technology,NASDAQ,Datawatch Corporation,96200000.0,72721.30,9,01/9/2023,High,Small,4.0
75,76,Maddi,Taber,AVNW,Technology,NASDAQ,"Aviat Networks, Inc.",93710000.0,99898.79,9,01/9/2023,Very High,Small,1.0
114,115,Aurea,McAuley,MBII,Basic Industries,NASDAQ,"Marrone Bio Innovations, Inc.",32290000.0,8724.64,9,01/9/2023,Low,Small,5.0
136,137,Dunn,Tewes,TREX,Basic Industries,NYSE,"Trex Company, Inc.",1990000000.0,9888.71,9,01/9/2023,Low,Large,2.0
138,139,Warden,Worham,FSV,Finance,NASDAQ,FirstService Corporation,2150000000.0,99263.34,9,01/9/2023,Very High,Large,3.0
171,172,Ollie,Lowers,PAC,Transportation,NYSE,"Grupo Aeroportuario Del Pacifico, S.A. de C.V.",5930000000.0,48934.53,9,01/9/2023,Medium,Large,5.0
192,193,Ike,Parlot,KLIC,Technology,NASDAQ,"Kulicke and Soffa Industries, Inc.",1460000000.0,99897.54,9,01/9/2023,Very High,Large,2.0
201,202,Lawry,Charlotte,FBNC,Finance,NASDAQ,First Bancorp,768070000.0,9516.02,9,01/9/2023,Low,Medium,1.0
202,203,Kimberlee,Condict,VRAY,Health Care,NASDAQ,"ViewRay, Inc.",370120000.0,74986.67,9,01/9/2023,High,Medium,1.0
217,218,Sheffield,Mumm,CMD,Health Care,NYSE,Cantel Medical Corp.,3170000000.0,9419.56,9,01/9/2023,Low,Large,5.0
219,220,Zabrina,Casper,EMR,Energy,NYSE,Emerson Electric Company,39110000000.0,49494.66,9,01/9/2023,Medium,Large,1.0
225,226,Leesa,Liddel,EEQ,Energy,NYSE,Enbridge Energy Management LLC,1270000000.0,48995.54,9,01/9/2023,Medium,Large,3.0
249,250,Darby,Eisikowitch,NBN,Finance,NASDAQ,Northeast Bancorp,180400000.0,9159.06,9,01/9/2023,Low,Medium,2.0
256,257,Oralie,Dwyr,NTAP,Technology,NASDAQ,"NetApp, Inc.",10290000000.0,49109.01,9,01/9/2023,Medium,Large,2.0
291,292,Jude,Napier,HD,Consumer Services,NYSE,"Home Depot, Inc. (The)",187270000000.0,67055.91,9,01/9/2023,High,Huge,2.0
297,298,Bernelle,Brabant,AEY,Consumer Services,NASDAQ,"ADDvantage Technologies Group, Inc.",16610000.0,73252.86,9,01/9/2023,High,Small,2.0
307,308,Stella,Andreev,FOMX,Consumer Durables,NASDAQ,Foamix Pharmaceuticals Ltd.,164160000.0,48955.83,9,01/9/2023,Medium,Medium,2.0
319,320,Paten,Flag,FMCI,Finance,NASDAQ,Forum Merger Corporation,217090000.0,49603.22,9,01/9/2023,Medium,Medium,1.0
327,328,Murdock,Blemen,GSK,Health Care,NYSE,GlaxoSmithKline PLC,107750000000.0,94009.24,9,01/9/2023,Very High,Huge,1.0
337,338,Tyrus,Pareman,HSC,Capital Goods,NYSE,Harsco Corporation,1350000000.0,74003.42,9,01/9/2023,High,Large,3.0
339,340,Sandi,Birkhead,WFC,Finance,NYSE,Wells Fargo & Company,269310000000.0,12409.03,9,01/9/2023,Low,Huge,3.0
370,371,Mignonne,Daws,AIRT,Transportation,NASDAQ,"Air T, Inc.",38810000.0,46681.40,9,01/9/2023,Medium,Small,3.0
376,377,Luelle,Veart,UBSH,Finance,NASDAQ,Union Bankshares Corporation,1530000000.0,9578.43,9,01/9/2023,Low,Large,3.0
393,394,Ikey,Durant,LAND,Consumer Services,NASDAQ,Gladstone Land Corporation,133560000.0,74019.01,9,01/9/2023,High,Medium,3.0
400,401,Gay,Scotchmore,FTSM,,NASDAQ,First Trust Enhanced Short Maturity ETF,966470000.0,48815.24,9,01/9/2023,Medium,Medium,4.0
404,405,Ganny,Kusick,MILN,,NASDAQ,Global X Millennials Thematic ETF,4360000.0,97859.67,9,01/9/2023,Very High,Small,5.0
412,413,Gusella,Ashurst,MPO,Energy,NYSE,"MIDSTATES PETROLEUM COMPANY, INC.",364190000.0,97778.79,9,01/9/2023,Very High,Medium,3.0
418,419,Kylila,Mirrlees,CPRX,Health Care,NASDAQ,"Catalyst Pharmaceuticals, Inc.",193550000.0,8193.92,9,01/9/2023,Low,Medium,5.0
469,470,Albertina,Glede,MTX,Basic Industries,NYSE,Minerals Technologies Inc.,2500000000.0,99097.44,9,01/9/2023,Very High,Large,5.0
470,471,Mickie,Dovinson,GLYC,Health Care,NASDAQ,"GlycoMimetics, Inc.",396210000.0,8931.77,9,01/9/2023,Low,Medium,4.0
479,480,Ethel,Woodvine,POST,Consumer Non-Durables,NYSE,"Post Holdings, Inc.",5250000000.0,9462.32,9,01/9/2023,Low,Large,4.0
489,490,Roderich,Guilford,WFC,Finance,NYSE,Wells Fargo & Company,269310000000.0,24028.29,9,01/9/2023,Low,Huge,1.0
497,498,Clo,Simka,DLNG,Consumer Services,NYSE,Dynagas LNG Partners LP,517440000.00000006,73826.53,9,01/9/2023,High,Medium,5.0
545,546,Constantine,Maso,BIOP,Health Care,NASDAQ,"Bioptix, Inc",19420000.0,48518.18,9,01/9/2023,Medium,Small,2.0
552,553,Thaddeus,Kryszkiecicz,SRTS,Health Care,NASDAQ,"Sensus Healthcare, Inc.",52750000.0,45440.72,9,01/9/2023,Medium,Small,4.0
567,568,Kristyn,Pinhorn,LKFN,Finance,NASDAQ,Lakeland Financial Corporation,1160000000.0,99910.52,9,01/9/2023,Very High,Large,1.0
587,588,Hansiain,Craggs,TSBK,Finance,NASDAQ,"Timberland Bancorp, Inc.",177780000.0,48621.11,9,01/9/2023,Medium,Medium,5.0
603,604,Harbert,Tunkin,CMCSA,Consumer Services,NASDAQ,Comcast Corporation,195790000000.0,1022.75,9,01/9/2023,Low,Huge,4.0
606,607,Hortense,Haddington,AMKR,Technology,NASDAQ,"Amkor Technology, Inc.",2520000000.0,48968.44,9,01/9/2023,Medium,Large,4.0
608,609,Dollie,Parsonage,GNUS,Consumer Services,NASDAQ,"Genius Brands International, Inc.",21760000.0,9314.05,9,01/9/2023,Low,Small,4.0
609,610,Creight,Bernat,MLR,Capital Goods,NYSE,"Miller Industries, Inc.",289480000.0,74252.84,9,01/9/2023,High,Medium,2.0
621,622,Diane-marie,Seamon,NBB,,NYSE,Nuveen Build America Bond Fund,555700000.0,96635.42,9,01/9/2023,Very High,Medium,4.0
622,623,Corette,Willsmore,OPHC,Finance,NASDAQ,"OptimumBank Holdings, Inc.",2910000.0,72535.21,9,01/9/2023,High,Small,5.0
680,681,Brewster,Fawcitt,KIO,,NYSE,KKR Income Opportunities Fund,271700000.0,98969.32,9,01/9/2023,Very High,Medium,2.0
690,691,Niles,MacShane,VZ,Public Utilities,NYSE,Verizon Communications Inc.,190220000000.0,23351.82,9,01/9/2023,Low,Huge,2.0
703,704,Sergeant,Bernot,MTGEP,Consumer Services,NASDAQ,MTGE Investment Corp.,52000000.0,9787.19,9,01/9/2023,Low,Small,1.0
718,719,Marni,Louth,CPLA,Consumer Services,NASDAQ,Capella Education Company,1040000000.0,74975.01,9,01/9/2023,High,Large,1.0
721,722,Kora,Furmedge,XOMA,Health Care,NASDAQ,XOMA Corporation,48400000.0,49899.45,9,01/9/2023,Medium,Small,1.0
771,772,Christan,Allard,ONCS,Health Care,NASDAQ,OncoSec Medical Incorporated,21800000.0,98784.35,9,01/9/2023,Very High,Small,2.0
772,773,Deny,Stonehewer,NFLX,Consumer Services,NASDAQ,"Netflix, Inc.",65680000000.00001,9945.86,9,01/9/2023,Low,Large,1.0
784,785,Keefer,Beneze,BA,Capital Goods,NYSE,Boeing Company (The),118570000000.0,67164.75,9,01/9/2023,High,Huge,1.0
793,794,Tory,Crichley,KHC,Consumer Non-Durables,NASDAQ,The Kraft Heinz Company,108870000000.0,78750.16,9,01/9/2023,Very High,Huge,2.0
803,804,Kippie,Massow,FTEO,,NASDAQ,"FRONTEO, Inc.",254840000.0,73963.06,9,01/9/2023,High,Medium,4.0
805,806,Jilly,Burnet,JUNO,Health Care,NASDAQ,"Juno Therapeutics, Inc.",2470000000.0,73434.46,9,01/9/2023,High,Large,5.0
836,837,Tessy,Whifen,JHD,,NYSE,Nuveen High Income December 2019 Target Term Fund,277100000.0,99770.29,9,01/9/2023,Very High,Medium,1.0
853,854,Andeee,Hirsthouse,JYNT,Miscellaneous,NASDAQ,The Joint Corp.,48270000.0,97883.17,9,01/9/2023,Very High,Small,3.0
871,872,Lea,McGirr,EFII,Technology,NASDAQ,"Electronics for Imaging, Inc.",2300000000.0,73756.89,9,01/9/2023,High,Large,4.0
875,876,Kelila,Jiricka,PEP,Consumer Non-Durables,NYSE,"Pepsico, Inc.",166930000000.0,63465.25,9,01/9/2023,High,Huge,3.0
919,920,Jilleen,Alves,LALT,,NASDAQ,PowerShares Multi-Strategy Alternative Portfolio,4460000.0,9481.32,9,01/9/2023,Low,Small,3.0
944,945,Sibelle,Kubach,SSFN,Finance,NASDAQ,Stewardship Financial Corp,83390000.0,74424.70,9,01/9/2023,High,Small,1.0
945,946,Blinni,Mellish,HIFR,Consumer Services,NYSE,"InfraREIT, Inc.",873820000.0,9024.92,9,01/9/2023,Low,Medium,3.0
953,954,Boris,Docharty,DLTH,Consumer Services,NASDAQ,Duluth Holdings Inc.,558540000.0,48944.21,9,01/9/2023,Medium,Medium,3.0
954,955,Jon,Malicki,YEXT,Technology,NYSE,"Yext, Inc.",1200000000.0,99229.80,9,01/9/2023,Very High,Large,4.0
964,965,Lion,Dorey,PQ,Energy,NYSE,Petroquest Energy Inc,46900000.0,73110.06,9,01/9/2023,High,Small,3.0
969,970,Anet,Lyard,FKO,,NASDAQ,First Trust South Korea AlphaDEX Fund,5410000.0,45330.21,9,01/9/2023,Medium,Small,5.0
984,985,Amos,Meek,FOF,,NYSE,"Cohen & Steers Closed-End Opportunity Fund, Inc.",351000000.0,96261.32,9,01/9/2023,Very High,Medium,5.0
992,993,Andy,Lacroutz,CPRT,Consumer Durables,NASDAQ,"Copart, Inc.",7200000000.0,74248.21,9,01/9/2023,High,Large,2.0
1,2,Julee,Runnacles,BPL,Energy,NYSE,Buckeye Partners L.P.,8620000000.0,74395.94,7,01/7/2023,High,Large,2.0
13,14,Amitie,Mather,CVX,Energy,NYSE,Chevron Corporation,205280000000.0,20087.02,7,01/7/2023,Low,Huge,3.0
26,27,Adelind,Rohloff,PG,Basic Industries,NYSE,Procter & Gamble Company (The),229320000000.0,55544.98,7,01/7/2023,High,Huge,3.0
34,35,Uri,Papa,T,Public Utilities,NYSE,AT&T Inc.,239530000000.0,59545.82,7,01/7/2023,High,Huge,1.0
42,43,Armando,Rollingson,WWE,Consumer Services,NYSE,"World Wrestling Entertainment, Inc.",1600000000.0,48620.09,7,01/7/2023,Medium,Large,4.0
53,54,Nils,Chamney,JPM,Finance,NYSE,J P Morgan Chase & Co,306180000000.0,25046.55,7,01/7/2023,Medium,Huge,3.0
81,82,Lennie,Dower,CNNX,Public Utilities,NYSE,Cone Midstream Partners LP,1170000000.0,98211.51,7,01/7/2023,Very High,Large,5.0
99,100,Giacopo,Philcott,MO,Consumer Non-Durables,NYSE,Altria Group,149280000000.0,6833.44,7,01/7/2023,Low,Huge,2.0
113,114,Faustine,Mannie,DSU,,NYSE,"Blackrock Debt Strategies Fund, Inc.",717080000.0,9337.01,7,01/7/2023,Low,Medium,4.0
118,119,Rafaela,Hince,THLD,Health Care,NASDAQ,"Threshold Pharmaceuticals, Inc.",27590000.0,7816.36,7,01/7/2023,Low,Small,5.0
123,124,Silvia,Whylie,SKIS,Consumer Services,NASDAQ,"Peak Resorts, Inc.",59430000.0,97259.06,7,01/7/2023,Very High,Small,4.0
148,149,Livia,Rheam,CYRN,Technology,NASDAQ,CYREN Ltd.,80330000.0,9660.84,7,01/7/2023,Low,Small,1.0
158,159,Baxy,Guilaem,LM,Finance,NYSE,"Legg Mason, Inc.",3810000000.0,855.68,7,01/7/2023,Low,Large,4.0
187,188,Marietta,Bather,RELL,Consumer Non-Durables,NASDAQ,"Richardson Electronics, Ltd.",75940000.0,67167.98,7,01/7/2023,High,Small,5.0
193,194,Jolene,Hartil,ICAD,Health Care,NASDAQ,icad inc.,68610000.0,45976.56,7,01/7/2023,Medium,Small,5.0
214,215,Matthus,Rathmell,PER,Energy,NYSE,SandRidge Permian Trust,150940000.0,99134.55,7,01/7/2023,Very High,Medium,3.0
236,237,Fran,Skittles,MCA,,NYSE,"Blackrock MuniYield California Insured Fund, Inc.",517809999.99999994,49401.76,7,01/7/2023,Medium,Medium,3.0
240,241,Marilyn,Jirsa,ERJ,Capital Goods,NYSE,Embraer-Empresa Brasileira de Aeronautica,3450000000.0,49000.27,7,01/7/2023,Medium,Large,3.0
257,258,Dorris,Schuh,MMC,Finance,NYSE,"Marsh & McLennan Companies, Inc.",41270000000.0,99552.77,7,01/7/2023,Very High,Large,1.0
267,268,Alfy,McNickle,VEC,Consumer Services,NYSE,"Vectrus, Inc.",340820000.0,74215.39,7,01/7/2023,High,Medium,4.0
284,285,Gaston,Davidofski,COL,Capital Goods,NYSE,"Rockwell Collins, Inc.",17430000000.0,48555.71,7,01/7/2023,Medium,Large,5.0
287,288,Michelina,Brame,IPXL,Health Care,NASDAQ,"Impax Laboratories, Inc.",1020000000.0,73831.61,7,01/7/2023,High,Large,3.0
290,291,Alex,Morrott,GOOGL,Technology,NASDAQ,Alphabet Inc.,663120000000.0,777.75,7,01/7/2023,Low,Huge,1.0
296,297,Elihu,Kimblen,YY,Technology,NASDAQ,YY Inc.,3060000000.0,49705.78,7,01/7/2023,Medium,Large,1.0
340,341,Balduin,Harrhy,CDXC,Consumer Durables,NASDAQ,ChromaDex Corporation,153950000.0,49959.02,7,01/7/2023,Medium,Medium,1.0
343,344,Edie,Meldrum,EGO,Basic Industries,NYSE,Eldorado Gold Corporation,1970000000.0,73819.66,7,01/7/2023,High,Large,4.0
373,374,Nerty,Snowden,AVIR,Health Care,NASDAQ,"Aviragen Therapeutics, Inc.",20870000.0,96846.60,7,01/7/2023,Very High,Small,5.0
392,393,Aylmer,Stowers,AMN,Technology,NYSE,AMN Healthcare Services Inc,1730000000.0,73791.51,7,01/7/2023,High,Large,5.0
394,395,Hymie,Fearnall,CIE,Energy,NYSE,"Cobalt International Energy, Inc.",93340000.0,8160.16,7,01/7/2023,Low,Small,4.0
408,409,Janna,Cockings,ASIX,Basic Industries,NYSE,AdvanSix Inc.,897420000.0,74236.29,7,01/7/2023,High,Medium,3.0
416,417,Ruddy,Lourenco,LOW,Consumer Services,NYSE,"Lowe's Companies, Inc.",67370000000.00001,74938.25,7,01/7/2023,High,Large,1.0
426,427,Briana,Madgin,SP,Consumer Services,NASDAQ,SP Plus Corporation,676910000.0,48915.80,7,01/7/2023,Medium,Medium,5.0
452,453,Marlo,Dymond,PEG,Public Utilities,NYSE,Public Service Enterprise Group Incorporated,22490000000.0,9693.30,7,01/7/2023,Low,Large,1.0
463,464,Rosamund,Goosey,SEED,Consumer Non-Durables,NASDAQ,Origin Agritech Limited,32450000.000000004,48603.15,7,01/7/2023,Medium,Small,1.0
465,466,Coralyn,Bartoshevich,GNMA,,NASDAQ,iShares GNMA Bond ETF,174890000.0,99605.26,7,01/7/2023,Very High,Medium,1.0
469,470,Mag,Gasking,OFC,Consumer Services,NYSE,Corporate Office Properties Trust,3520000000.0,98696.05,7,01/7/2023,Very High,Large,2.0
480,481,Balduin,Rigardeau,NCTY,Miscellaneous,NASDAQ,The9 Limited,28190000.0,8201.25,7,01/7/2023,Low,Small,3.0
506,507,Juli,de Broke,JNJ,Health Care,NYSE,Johnson & Johnson,361920000000.0,49062.01,7,01/7/2023,Medium,Huge,1.0
516,517,Shelly,Astling,AMRC,Basic Industries,NYSE,"Ameresco, Inc.",308890000.0,49549.41,7,01/7/2023,Medium,Medium,2.0
540,541,Isak,Jeffray,VONG,,NASDAQ,Vanguard Russell 1000 Growth ETF,1180000000.0,98462.08,7,01/7/2023,Very High,Large,4.0
548,549,Wolf,Panther,GKOS,Health Care,NYSE,Glaukos Corporation,1390000000.0,49704.57,7,01/7/2023,Medium,Large,2.0
552,553,Melina,Sydall,CCXI,Health Care,NASDAQ,"ChemoCentryx, Inc.",351670000.0,98401.54,7,01/7/2023,Very High,Medium,5.0
558,559,Maia,Turtle,DUC,,NYSE,"Duff & Phelps Utility & Corporate Bond Trust, Inc.",254600000.0,9551.57,7,01/7/2023,Low,Medium,2.0
575,576,Cherie,Reubens,MMM,Health Care,NYSE,3M Company,127360000000.0,91660.76,7,01/7/2023,Very High,Huge,4.0
577,578,Glyn,Goude,GNVC,Health Care,NASDAQ,"GenVec, Inc.",16350000.000000002,46929.79,7,01/7/2023,Medium,Small,3.0
584,585,Jena,Mattiazzi,HOTR,Consumer Services,NASDAQ,"Chanticleer Holdings, Inc.",6310000.0,99399.76,7,01/7/2023,Very High,Small,2.0
587,588,Lazarus,Strewthers,IEUS,,NASDAQ,iShares MSCI Europe Small-Cap ETF,126720000.0,74170.42,7,01/7/2023,High,Medium,5.0
