,Rank,id,Student_Name,Date,Term,GPA,3 Term GPA Moving
78,78,485,Welbie Sollner,2022-06-16,Term 6,7.5,5.5
79,79,33,Wayne Purtell,2020-12-16,Term 1,4.75,4.33
80,80,33,Wayne Purtell,2021-03-16,Term 2,6.0,4.67
81,81,33,Wayne Purtell,2021-06-01,Term 3,6.25,5.67
82,82,33,Wayne Purtell,2021-12-16,Term 4,4.25,5.5
83,83,33,Wayne Purtell,2022-03-16,Term 5,2.75,4.42
84,84,33,Wayne Purtell,2022-06-16,Term 6,4.5,3.83
85,85,61,Ware Reeveley,2020-12-16,Term 1,5.75,5.08
86,86,61,Ware Reeveley,2021-03-16,Term 2,4.0,4.83
87,87,61,Ware Reeveley,2021-06-01,Term 3,6.0,5.25
88,88,61,Ware Reeveley,2021-12-16,Term 4,5.0,5.0
89,89,61,Ware Reeveley,2022-03-16,Term 5,6.25,5.75
90,90,61,Ware Reeveley,2022-06-16,Term 6,4.0,5.08
91,91,157,Von Sasser,2020-12-16,Term 1,6.0,5.75
92,92,157,Von Sasser,2021-03-16,Term 2,6.0,6.17
93,93,157,Von Sasser,2021-06-01,Term 3,6.0,6.0
94,94,157,Von Sasser,2021-12-16,Term 4,8.0,6.67
95,95,157,Von Sasser,2022-03-16,Term 5,3.75,5.92
96,96,157,Von Sasser,2022-06-16,Term 6,5.5,5.75
97,97,333,Vladamir Grindley,2020-12-16,Term 1,5.25,5.92
98,98,333,Vladamir Grindley,2021-03-16,Term 2,5.75,5.67
99,99,333,Vladamir Grindley,2021-06-01,Term 3,6.0,5.67
100,100,333,Vladamir Grindley,2021-12-16,Term 4,4.25,5.33
101,101,333,Vladamir Grindley,2022-03-16,Term 5,4.75,5.0
102,102,333,Vladamir Grindley,2022-06-16,Term 6,4.5,4.5
103,103,167,Virgie Mowsdale,2020-12-16,Term 1,4.5,4.92
104,104,167,Virgie Mowsdale,2021-03-16,Term 2,5.75,5.33
105,105,167,Virgie Mowsdale,2021-06-01,Term 3,4.25,4.83
106,106,167,Virgie Mowsdale,2021-12-16,Term 4,6.0,5.33
107,107,167,Virgie Mowsdale,2022-03-16,Term 5,5.5,5.25
108,108,167,Virgie Mowsdale,2022-06-16,Term 6,5.5,5.67
109,109,43,Vinny Truitt,2020-12-16,Term 1,7.0,6.0
110,110,43,Vinny Truitt,2021-03-16,Term 2,3.25,5.5
111,111,43,Vinny Truitt,2021-06-01,Term 3,4.5,4.92
112,112,43,Vinny Truitt,2021-12-16,Term 4,5.0,4.25
113,113,43,Vinny Truitt,2022-03-16,Term 5,5.75,5.08
114,114,43,Vinny Truitt,2022-06-16,Term 6,5.25,5.33
115,115,47,Vincenz Allain,2020-12-16,Term 1,3.75,4.0
116,116,47,Vincenz Allain,2021-03-16,Term 2,3.25,4.08
117,117,47,Vincenz Allain,2021-06-01,Term 3,4.5,3.83
118,118,47,Vincenz Allain,2021-12-16,Term 4,5.0,4.25
119,119,47,Vincenz Allain,2022-03-16,Term 5,4.5,4.67
120,120,47,Vincenz Allain,2022-06-16,Term 6,6.75,5.42
121,121,227,Veriee Dounbare,2020-12-16,Term 1,4.25,4.58
122,122,227,Veriee Dounbare,2021-03-16,Term 2,5.25,4.17
123,123,227,Veriee Dounbare,2021-06-01,Term 3,3.75,4.42
124,124,227,Veriee Dounbare,2021-12-16,Term 4,4.5,4.5
125,125,227,Veriee Dounbare,2022-03-16,Term 5,4.5,4.25
126,126,227,Veriee Dounbare,2022-06-16,Term 6,7.0,5.33
127,127,475,Venus Molohan,2020-12-16,Term 1,5.5,5.25
128,128,475,Venus Molohan,2021-03-16,Term 2,5.75,5.17
129,129,475,Venus Molohan,2021-06-01,Term 3,4.25,5.17
130,130,475,Venus Molohan,2021-12-16,Term 4,5.0,5.0
131,131,475,Venus Molohan,2022-03-16,Term 5,5.5,4.92
132,132,475,Venus Molohan,2022-06-16,Term 6,5.0,5.17
133,133,385,Vanya Horstead,2020-12-16,Term 1,3.0,4.67
134,134,385,Vanya Horstead,2021-03-16,Term 2,4.75,5.0
135,135,385,Vanya Horstead,2021-06-01,Term 3,3.0,3.58
136,136,385,Vanya Horstead,2021-12-16,Term 4,5.25,4.33
137,137,385,Vanya Horstead,2022-03-16,Term 5,5.75,4.67
138,138,385,Vanya Horstead,2022-06-16,Term 6,6.0,5.67
139,139,393,Vally Rawe,2020-12-16,Term 1,4.25,3.92
140,140,393,Vally Rawe,2021-03-16,Term 2,1.75,3.42
141,141,393,Vally Rawe,2021-06-01,Term 3,7.0,4.33
142,142,393,Vally Rawe,2021-12-16,Term 4,3.75,4.17
143,143,393,Vally Rawe,2022-03-16,Term 5,4.25,5.0
144,144,393,Vally Rawe,2022-06-16,Term 6,6.75,4.92
145,145,278,Valina Warin,2020-12-16,Term 1,2.5,4.25
146,146,278,Valina Warin,2021-03-16,Term 2,4.25,3.5
147,147,278,Valina Warin,2021-06-01,Term 3,5.0,3.92
148,148,278,Valina Warin,2021-12-16,Term 4,5.0,4.75
149,149,278,Valina Warin,2022-03-16,Term 5,6.0,5.33
150,150,278,Valina Warin,2022-06-16,Term 6,7.25,6.08
151,151,289,Udall Squibbes,2020-12-16,Term 1,6.25,5.0
152,152,289,Udall Squibbes,2021-03-16,Term 2,6.25,5.83
153,153,289,Udall Squibbes,2021-06-01,Term 3,4.25,5.58
154,154,289,Udall Squibbes,2021-12-16,Term 4,3.75,4.75
155,155,289,Udall Squibbes,2022-03-16,Term 5,4.25,4.08
156,156,289,Udall Squibbes,2022-06-16,Term 6,5.75,4.58
157,157,285,Trstram Shoulder,2020-12-16,Term 1,6.25,5.33
158,158,285,Trstram Shoulder,2021-03-16,Term 2,3.5,5.0
159,159,285,Trstram Shoulder,2021-06-01,Term 3,5.0,4.92
160,160,285,Trstram Shoulder,2021-12-16,Term 4,5.75,4.75
161,161,285,Trstram Shoulder,2022-03-16,Term 5,6.0,5.58
162,162,285,Trstram Shoulder,2022-06-16,Term 6,5.0,5.58
163,163,302,Torey Wimbury,2020-12-16,Term 1,3.75,5.33
164,164,302,Torey Wimbury,2021-03-16,Term 2,6.0,5.08
165,165,302,Torey Wimbury,2021-06-01,Term 3,5.0,4.92
166,166,302,Torey Wimbury,2021-12-16,Term 4,4.5,5.17
167,167,302,Torey Wimbury,2022-03-16,Term 5,6.0,5.17
168,168,302,Torey Wimbury,2022-06-16,Term 6,2.5,4.33
169,169,327,Tomasina Cremin,2020-12-16,Term 1,5.5,5.0
170,170,327,Tomasina Cremin,2021-03-16,Term 2,4.75,4.5
171,171,327,Tomasina Cremin,2021-06-01,Term 3,5.75,5.33
172,172,327,Tomasina Cremin,2021-12-16,Term 4,5.25,5.25
173,173,327,Tomasina Cremin,2022-03-16,Term 5,5.25,5.42
174,174,327,Tomasina Cremin,2022-06-16,Term 6,3.5,4.67
175,175,45,Toddie Georgiades,2020-12-16,Term 1,3.0,6.08
176,176,45,Toddie Georgiades,2021-03-16,Term 2,5.75,5.58
177,177,45,Toddie Georgiades,2021-06-01,Term 3,2.75,3.83
178,178,45,Toddie Georgiades,2021-12-16,Term 4,4.5,4.33
179,179,45,Toddie Georgiades,2022-03-16,Term 5,5.0,4.08
180,180,45,Toddie Georgiades,2022-06-16,Term 6,4.25,4.58
181,181,497,Tod Elloit,2020-12-16,Term 1,4.75,5.08
182,182,497,Tod Elloit,2021-03-16,Term 2,4.25,4.42
183,183,497,Tod Elloit,2021-06-01,Term 3,5.5,4.83
184,184,497,Tod Elloit,2021-12-16,Term 4,7.5,5.75
185,185,497,Tod Elloit,2022-03-16,Term 5,4.75,5.92
186,186,497,Tod Elloit,2022-06-16,Term 6,7.0,6.42
187,187,194,Tobe Ogers,2020-12-16,Term 1,5.0,6.0
188,188,194,Tobe Ogers,2021-03-16,Term 2,7.25,6.92
189,189,194,Tobe Ogers,2021-06-01,Term 3,5.75,6.0
190,190,194,Tobe Ogers,2021-12-16,Term 4,5.75,6.25
191,191,194,Tobe Ogers,2022-03-16,Term 5,6.5,6.0
192,192,194,Tobe Ogers,2022-06-16,Term 6,4.5,5.58
193,193,298,Tirrell Knappen,2020-12-16,Term 1,5.75,5.25
194,194,298,Tirrell Knappen,2021-03-16,Term 2,5.75,5.83
195,195,298,Tirrell Knappen,2021-06-01,Term 3,7.0,6.17
196,196,298,Tirrell Knappen,2021-12-16,Term 4,5.0,5.92
197,197,298,Tirrell Knappen,2022-03-16,Term 5,3.5,5.17
198,198,298,Tirrell Knappen,2022-06-16,Term 6,6.25,4.92
199,199,187,Tina Marr,2020-12-16,Term 1,5.5,4.5
200,200,187,Tina Marr,2021-03-16,Term 2,4.75,4.17
201,201,187,Tina Marr,2021-06-01,Term 3,3.25,4.5
202,202,187,Tina Marr,2021-12-16,Term 4,6.5,4.83
203,203,187,Tina Marr,2022-03-16,Term 5,5.5,5.08
204,204,187,Tina Marr,2022-06-16,Term 6,6.25,6.08
205,205,391,Timmie Snell,2020-12-16,Term 1,6.5,5.17
206,206,391,Timmie Snell,2021-03-16,Term 2,5.75,5.25
207,207,391,Timmie Snell,2021-06-01,Term 3,3.75,5.33
208,208,391,Timmie Snell,2021-12-16,Term 4,2.25,3.92
209,209,391,Timmie Snell,2022-03-16,Term 5,6.25,4.08
210,210,391,Timmie Snell,2022-06-16,Term 6,4.75,4.42
211,211,342,Tillie Cleft,2020-12-16,Term 1,6.75,4.5
212,212,342,Tillie Cleft,2021-03-16,Term 2,6.25,5.5
213,213,342,Tillie Cleft,2021-06-01,Term 3,5.0,6.0
214,214,342,Tillie Cleft,2021-12-16,Term 4,4.0,5.08
215,215,342,Tillie Cleft,2022-03-16,Term 5,5.5,4.83
216,216,342,Tillie Cleft,2022-06-16,Term 6,2.5,4.0
217,217,387,Therine Headon,2020-12-16,Term 1,3.5,3.33
218,218,387,Therine Headon,2021-03-16,Term 2,4.5,3.75
219,219,387,Therine Headon,2021-06-01,Term 3,6.25,4.75
220,220,387,Therine Headon,2021-12-16,Term 4,2.75,4.5
221,221,387,Therine Headon,2022-03-16,Term 5,5.75,4.92
222,222,387,Therine Headon,2022-06-16,Term 6,3.75,4.08
223,223,445,Terrill Redwall,2020-12-16,Term 1,3.0,4.08
224,224,445,Terrill Redwall,2021-03-16,Term 2,5.0,4.17
225,225,445,Terrill Redwall,2021-06-01,Term 3,5.25,4.42
226,226,445,Terrill Redwall,2021-12-16,Term 4,4.75,5.0
227,227,445,Terrill Redwall,2022-03-16,Term 5,6.25,5.42
228,228,445,Terrill Redwall,2022-06-16,Term 6,3.75,4.92
229,229,388,Terence Plaid,2020-12-16,Term 1,4.5,4.67
230,230,388,Terence Plaid,2021-03-16,Term 2,5.5,4.58
231,231,388,Terence Plaid,2021-06-01,Term 3,5.75,5.25
232,232,388,Terence Plaid,2021-12-16,Term 4,4.75,5.33
233,233,388,Terence Plaid,2022-03-16,Term 5,4.25,4.92
234,234,388,Terence Plaid,2022-06-16,Term 6,3.25,4.08
235,235,90,Teador Paulack,2020-12-16,Term 1,5.5,5.75
236,236,90,Teador Paulack,2021-03-16,Term 2,5.0,5.0
237,237,90,Teador Paulack,2021-06-01,Term 3,4.25,4.92
238,238,90,Teador Paulack,2021-12-16,Term 4,3.25,4.17
239,239,90,Teador Paulack,2022-03-16,Term 5,6.5,4.67
240,240,90,Teador Paulack,2022-06-16,Term 6,3.75,4.5
241,241,235,Tate Nannetti,2020-12-16,Term 1,7.75,6.0
242,242,235,Tate Nannetti,2021-03-16,Term 2,6.75,6.25
243,243,235,Tate Nannetti,2021-06-01,Term 3,7.0,7.17
244,244,235,Tate Nannetti,2021-12-16,Term 4,5.75,6.5
245,245,235,Tate Nannetti,2022-03-16,Term 5,6.75,6.5
246,246,235,Tate Nannetti,2022-06-16,Term 6,7.25,6.58
247,247,63,Tallia Megarrell,2020-12-16,Term 1,5.25,4.5
248,248,63,Tallia Megarrell,2021-03-16,Term 2,5.0,4.33
249,249,63,Tallia Megarrell,2021-06-01,Term 3,4.0,4.75
250,250,63,Tallia Megarrell,2021-12-16,Term 4,5.0,4.67
251,251,63,Tallia Megarrell,2022-03-16,Term 5,4.0,4.33
252,252,63,Tallia Megarrell,2022-06-16,Term 6,7.0,5.33
253,253,259,Tadio Stancliffe,2020-12-16,Term 1,4.0,4.25
254,254,259,Tadio Stancliffe,2021-03-16,Term 2,6.25,4.83
255,255,259,Tadio Stancliffe,2021-06-01,Term 3,5.75,5.33
256,256,259,Tadio Stancliffe,2021-12-16,Term 4,6.25,6.08
257,257,259,Tadio Stancliffe,2022-03-16,Term 5,3.5,5.17
258,258,259,Tadio Stancliffe,2022-06-16,Term 6,5.0,4.92
259,259,254,Taddeusz Gummery,2020-12-16,Term 1,4.0,3.92
260,260,254,Taddeusz Gummery,2021-03-16,Term 2,3.5,3.58
261,261,254,Taddeusz Gummery,2021-06-01,Term 3,7.0,4.83
262,262,254,Taddeusz Gummery,2021-12-16,Term 4,5.25,5.25
263,263,254,Taddeusz Gummery,2022-03-16,Term 5,4.5,5.58
264,264,254,Taddeusz Gummery,2022-06-16,Term 6,2.75,4.17
265,265,58,Tabor Raoul,2020-12-16,Term 1,2.25,3.58
266,266,58,Tabor Raoul,2021-03-16,Term 2,3.5,3.75
267,267,58,Tabor Raoul,2021-06-01,Term 3,4.5,3.42
268,268,58,Tabor Raoul,2021-12-16,Term 4,5.5,4.5
269,269,58,Tabor Raoul,2022-03-16,Term 5,6.0,5.33
270,270,58,Tabor Raoul,2022-06-16,Term 6,4.75,5.42
271,271,362,Tabb Vautin,2020-12-16,Term 1,5.0,5.5
272,272,362,Tabb Vautin,2021-03-16,Term 2,3.5,4.42
273,273,362,Tabb Vautin,2021-06-01,Term 3,5.25,4.58
274,274,362,Tabb Vautin,2021-12-16,Term 4,3.5,4.08
275,275,362,Tabb Vautin,2022-03-16,Term 5,5.75,4.83
276,276,362,Tabb Vautin,2022-06-16,Term 6,6.0,5.08
277,277,186,Sydney Bugby,2020-12-16,Term 1,6.25,5.67
278,278,186,Sydney Bugby,2021-03-16,Term 2,2.75,4.83
279,279,186,Sydney Bugby,2021-06-01,Term 3,6.25,5.08
280,280,186,Sydney Bugby,2021-12-16,Term 4,4.0,4.33
281,281,186,Sydney Bugby,2022-03-16,Term 5,5.75,5.33
282,282,186,Sydney Bugby,2022-06-16,Term 6,2.25,4.0
283,283,41,Susann Domsalla,2020-12-16,Term 1,6.25,5.25
284,284,41,Susann Domsalla,2021-03-16,Term 2,4.25,5.0
285,285,41,Susann Domsalla,2021-06-01,Term 3,8.0,6.17
286,286,41,Susann Domsalla,2021-12-16,Term 4,6.0,6.08
287,287,41,Susann Domsalla,2022-03-16,Term 5,4.0,6.0
288,288,41,Susann Domsalla,2022-06-16,Term 6,6.25,5.42
289,289,91,Stephan Josephson,2020-12-16,Term 1,4.5,4.92
290,290,91,Stephan Josephson,2021-03-16,Term 2,4.75,4.33
291,291,91,Stephan Josephson,2021-06-01,Term 3,6.25,5.17
292,292,91,Stephan Josephson,2021-12-16,Term 4,4.5,5.17
293,293,91,Stephan Josephson,2022-03-16,Term 5,3.5,4.75
294,294,91,Stephan Josephson,2022-06-16,Term 6,3.75,3.92
295,295,8,Stefanie Hands,2020-12-16,Term 1,4.75,5.08
296,296,8,Stefanie Hands,2021-03-16,Term 2,4.0,4.0
297,297,8,Stefanie Hands,2021-06-01,Term 3,3.25,4.0
298,298,8,Stefanie Hands,2021-12-16,Term 4,5.25,4.17
299,299,8,Stefanie Hands,2022-03-16,Term 5,4.25,4.25
300,300,8,Stefanie Hands,2022-06-16,Term 6,5.25,4.92
301,301,381,Stefan Leppo,2020-12-16,Term 1,4.75,4.83
302,302,381,Stefan Leppo,2021-03-16,Term 2,4.5,4.83
303,303,381,Stefan Leppo,2021-06-01,Term 3,4.75,4.67
304,304,381,Stefan Leppo,2021-12-16,Term 4,3.0,4.08
305,305,381,Stefan Leppo,2022-03-16,Term 5,4.5,4.08
306,306,381,Stefan Leppo,2022-06-16,Term 6,3.5,3.67
307,307,465,Starlin Staddart,2020-12-16,Term 1,3.75,4.42
308,308,465,Starlin Staddart,2021-03-16,Term 2,4.25,4.42
309,309,465,Starlin Staddart,2021-06-01,Term 3,5.75,4.58
310,310,465,Starlin Staddart,2021-12-16,Term 4,3.0,4.33
311,311,465,Starlin Staddart,2022-03-16,Term 5,4.25,4.33
312,312,465,Starlin Staddart,2022-06-16,Term 6,7.75,5.0
313,313,483,Stanley Salvadore,2020-12-16,Term 1,3.75,4.25
314,314,483,Stanley Salvadore,2021-03-16,Term 2,6.0,4.83
315,315,483,Stanley Salvadore,2021-06-01,Term 3,5.75,5.17
316,316,483,Stanley Salvadore,2021-12-16,Term 4,4.5,5.42
317,317,483,Stanley Salvadore,2022-03-16,Term 5,2.75,4.33
318,318,483,Stanley Salvadore,2022-06-16,Term 6,6.25,4.5
319,319,150,Stacie Vawton,2020-12-16,Term 1,4.25,5.25
320,320,150,Stacie Vawton,2021-03-16,Term 2,4.5,4.92
321,321,150,Stacie Vawton,2021-06-01,Term 3,6.25,5.0
322,322,150,Stacie Vawton,2021-12-16,Term 4,5.75,5.5
323,323,150,Stacie Vawton,2022-03-16,Term 5,6.0,6.0
324,324,150,Stacie Vawton,2022-06-16,Term 6,5.75,5.83
325,325,358,Sophey Hartzenberg,2020-12-16,Term 1,5.0,6.33
326,326,358,Sophey Hartzenberg,2021-03-16,Term 2,5.5,6.0
327,327,358,Sophey Hartzenberg,2021-06-01,Term 3,4.25,4.92
328,328,358,Sophey Hartzenberg,2021-12-16,Term 4,3.75,4.5
329,329,358,Sophey Hartzenberg,2022-03-16,Term 5,5.5,4.5
330,330,358,Sophey Hartzenberg,2022-06-16,Term 6,4.75,4.67
331,331,367,Sonnie Corwin,2020-12-16,Term 1,5.25,5.17
332,332,367,Sonnie Corwin,2021-03-16,Term 2,4.5,5.33
333,333,367,Sonnie Corwin,2021-06-01,Term 3,5.5,5.08
334,334,367,Sonnie Corwin,2021-12-16,Term 4,2.75,4.25
335,335,367,Sonnie Corwin,2022-03-16,Term 5,7.25,5.17
336,336,367,Sonnie Corwin,2022-06-16,Term 6,3.5,4.5
337,337,156,Sofia Trueman,2020-12-16,Term 1,4.5,4.58
338,338,156,Sofia Trueman,2021-03-16,Term 2,4.5,4.75
339,339,156,Sofia Trueman,2021-06-01,Term 3,6.0,5.0
340,340,156,Sofia Trueman,2021-12-16,Term 4,3.0,4.5
341,341,156,Sofia Trueman,2022-03-16,Term 5,4.75,4.58
342,342,156,Sofia Trueman,2022-06-16,Term 6,6.5,4.75
343,343,67,Skylar Sacher,2020-12-16,Term 1,7.75,7.75
344,344,67,Skylar Sacher,2021-03-16,Term 2,5.0,6.67
345,345,67,Skylar Sacher,2021-06-01,Term 3,6.75,6.5
346,346,67,Skylar Sacher,2021-12-16,Term 4,2.0,4.58
347,347,67,Skylar Sacher,2022-03-16,Term 5,7.5,5.42
348,348,67,Skylar Sacher,2022-06-16,Term 6,5.25,4.92
349,349,487,Skylar Melland,2020-12-16,Term 1,3.5,4.58
350,350,487,Skylar Melland,2021-03-16,Term 2,5.25,4.92
351,351,487,Skylar Melland,2021-06-01,Term 3,6.0,4.92
352,352,487,Skylar Melland,2021-12-16,Term 4,5.75,5.67
353,353,487,Skylar Melland,2022-03-16,Term 5,3.25,5.0
354,354,487,Skylar Melland,2022-06-16,Term 6,4.75,4.58
355,355,293,Sky Hollingshead,2020-12-16,Term 1,5.5,5.67
356,356,293,Sky Hollingshead,2021-03-16,Term 2,7.75,6.08
357,357,293,Sky Hollingshead,2021-06-01,Term 3,5.0,6.08
358,358,293,Sky Hollingshead,2021-12-16,Term 4,5.75,6.17
359,359,293,Sky Hollingshead,2022-03-16,Term 5,5.5,5.42
360,360,293,Sky Hollingshead,2022-06-16,Term 6,6.5,5.92
361,361,169,Sisile Mikalski,2020-12-16,Term 1,6.0,5.0
362,362,169,Sisile Mikalski,2021-03-16,Term 2,6.0,5.5
363,363,169,Sisile Mikalski,2021-06-01,Term 3,4.5,5.5
364,364,169,Sisile Mikalski,2021-12-16,Term 4,6.5,5.67
365,365,169,Sisile Mikalski,2022-03-16,Term 5,6.0,5.67
366,366,169,Sisile Mikalski,2022-06-16,Term 6,4.5,5.67
367,367,163,Siobhan Fellow,2020-12-16,Term 1,7.0,6.67
368,368,163,Siobhan Fellow,2021-03-16,Term 2,5.0,6.08
369,369,163,Siobhan Fellow,2021-06-01,Term 3,4.75,5.58
370,370,163,Siobhan Fellow,2021-12-16,Term 4,7.0,5.58
371,371,163,Siobhan Fellow,2022-03-16,Term 5,7.0,6.25
372,372,163,Siobhan Fellow,2022-06-16,Term 6,5.0,6.33
373,373,453,Silvester Gillum,2020-12-16,Term 1,5.75,4.58
374,374,453,Silvester Gillum,2021-03-16,Term 2,5.5,5.17
375,375,453,Silvester Gillum,2021-06-01,Term 3,6.25,5.83
376,376,453,Silvester Gillum,2021-12-16,Term 4,6.5,6.08
377,377,453,Silvester Gillum,2022-03-16,Term 5,4.5,5.75
378,378,453,Silvester Gillum,2022-06-16,Term 6,4.75,5.25
379,379,262,Silva Paybody,2020-12-16,Term 1,6.0,5.25
380,380,262,Silva Paybody,2021-03-16,Term 2,6.25,5.42
381,381,262,Silva Paybody,2021-06-01,Term 3,6.5,6.25
382,382,262,Silva Paybody,2021-12-16,Term 4,5.75,6.17
383,383,262,Silva Paybody,2022-03-16,Term 5,4.5,5.58
384,384,262,Silva Paybody,2022-06-16,Term 6,5.75,5.33
385,385,206,Sigfried Shorthill,2020-12-16,Term 1,5.0,4.92
386,386,206,Sigfried Shorthill,2021-03-16,Term 2,4.75,4.83
387,387,206,Sigfried Shorthill,2021-06-01,Term 3,4.5,4.75
388,388,206,Sigfried Shorthill,2021-12-16,Term 4,5.0,4.75
389,389,206,Sigfried Shorthill,2022-03-16,Term 5,2.5,4.0
390,390,206,Sigfried Shorthill,2022-06-16,Term 6,3.25,3.58
391,391,124,Sianna Chipps,2020-12-16,Term 1,4.0,3.58
392,392,124,Sianna Chipps,2021-03-16,Term 2,6.75,5.08
393,393,124,Sianna Chipps,2021-06-01,Term 3,4.25,5.0
394,394,124,Sianna Chipps,2021-12-16,Term 4,7.5,6.17
395,395,124,Sianna Chipps,2022-03-16,Term 5,5.25,5.67
